geneNames	transcriptNames	id	fc	pval	qval
.	MSTRG.2869.7	3525	55681271345670928	7.89435183889964e-12	7.67895568104171e-11
.	gene-PA1823	1868	47969550186936120	7.90467691302865e-12	7.67895568104171e-11
etfB	gene-PA2952	3018	16689384193462626	7.94220245126098e-12	7.67895568104171e-11
.	MSTRG.1843.1	2240	349511800314151	7.96562815708057e-12	7.67895568104171e-11
hisB	gene-PA5143	5299	2704155995351716	8.01181343490498e-12	7.67895568104171e-11
.	MSTRG.3877.2	4752	2.87774262382734e-21	8.05422395444566e-12	7.67895568104171e-11
.	gene-PA2543	2594	12538098133901.5	8.06177347101311e-12	7.67895568104171e-11
.	gene-PA0698	710	663780275561.488	8.10063127687499e-12	7.67895568104171e-11
.	gene-PA5182	5341	2112496477828396	8.1192830236887e-12	7.67895568104171e-11
.	gene-PA0954	978	6.41581916602091e-14	8.1246120942069e-12	7.67895568104171e-11
.	gene-PA3493	3586	1106781770.73476	8.12705458486107e-12	7.67895568104171e-11
.	gene-PA4823	4977	891408501778701184	8.12971912012017e-12	7.67895568104171e-11
.	gene-PA0558	565	5.03008909378553e+24	8.13993317194672e-12	7.67895568104171e-11
.	gene-PA1230	1259	9.46717276576317e-11	8.24251777942209e-12	7.67895568104171e-11
.	gene-PA3937	4036	1.21269839547105e-09	8.26627655214907e-12	7.67895568104171e-11
.	rna-PA5149.1	5306	39370281709552.1	8.27893309462979e-12	7.67895568104171e-11
.	gene-PA5078	5235	1.69395184341826e+21	8.28492829896277e-12	7.67895568104171e-11
braD	gene-PA1073	1099	7.58143483245797e-16	8.29958324288782e-12	7.67895568104171e-11
trpB	gene-PA0036	37	8.1756083363852e+25	8.30169266663461e-12	7.67895568104171e-11
.	gene-PA4381	4499	18588222570.7266	8.30457924649863e-12	7.67895568104171e-11
hcnA	gene-PA2193	2239	1015204042.54528	8.31212876306608e-12	7.67895568104171e-11
pqsC	gene-PA0998	1021	2.33721985070882e-12	8.3180129450966e-12	7.67895568104171e-11
.	gene-PA1558	1595	343111060457.983	8.34043945019403e-12	7.67895568104171e-11
.	gene-PA2441	2495	4.67904950766719e-09	8.3588691524028e-12	7.67895568104171e-11
.	gene-PA2724	2779	1.59436325030368e-11	8.37507840856233e-12	7.67895568104171e-11
.	gene-PA4426	4546	1660446174.16186	8.39284197695633e-12	7.67895568104171e-11
.	gene-PA5440a	5606	314941101.760767	8.40194580575826e-12	7.67895568104171e-11
cycH	gene-PA1483	1514	4.27528541110749e+20	8.44058156701522e-12	7.67895568104171e-11
.	gene-PA5467	5636	1.3571168171137e-10	8.4829920865559e-12	7.67895568104171e-11
folC	gene-PA3111	3186	104299586837.309	8.49798009738834e-12	7.67895568104171e-11
ppk	gene-PA5242	5403	4742561109700873	8.51185788519615e-12	7.67895568104171e-11
.	gene-PA2055	2100	21536.7143427677	8.51252401901093e-12	7.67895568104171e-11
.	gene-PA4625	4758	3.99584833068811e-10	8.54227799607088e-12	7.67895568104171e-11
.	gene-PA0619	627	3.40192159616629e-09	8.56248405511906e-12	7.67895568104171e-11
.	gene-PA1638	1674	66152706.6201369	8.56825721484711e-12	7.67895568104171e-11
.	gene-PA0556	563	2625616285.66034	8.59001758612976e-12	7.67895568104171e-11
.	gene-PA0860	877	13914704166.7068	8.61111182359764e-12	7.67895568104171e-11
ureD	gene-PA4864	5018	4305363.63470573	8.62820925817687e-12	7.67895568104171e-11
.	gene-PA2287	2336	789743210767968	8.64730509420042e-12	7.67895568104171e-11
.	gene-PA3492	3585	2506450.9599635	8.70903349436958e-12	7.67895568104171e-11
