locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHCOAJIK_00001	tRNA	76				tRNA-Ala(tgc)
NHCOAJIK_00002	rRNA	79				5S ribosomal RNA (partial)
NHCOAJIK_00003	tRNA	74				tRNA-Ala(tgc)
NHCOAJIK_00004	tRNA	77				tRNA-Ile(gat)
NHCOAJIK_00005	tRNA	77				tRNA-Ile(gat)
NHCOAJIK_00006	tRNA	74				tRNA-Ala(tgc)
NHCOAJIK_00007	tRNA	77				tRNA-Ile(gat)
NHCOAJIK_00008	tRNA	77				tRNA-Arg(acg)
NHCOAJIK_00009	tRNA	76				tRNA-Glu(ttc)
NHCOAJIK_00010	rRNA	456				16S ribosomal RNA (partial)
NHCOAJIK_00011	CDS	264				hypothetical protein
NHCOAJIK_00012	CDS	168				hypothetical protein
NHCOAJIK_00013	CDS	534				hypothetical protein
NHCOAJIK_00014	CDS	231				hypothetical protein
NHCOAJIK_00015	CDS	654				hypothetical protein
NHCOAJIK_00016	CDS	855				hypothetical protein
NHCOAJIK_00017	CDS	354				hypothetical protein
NHCOAJIK_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
NHCOAJIK_00019	CDS	375	yobA		COG2372	Protein YobA
NHCOAJIK_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
NHCOAJIK_00021	CDS	657				hypothetical protein
NHCOAJIK_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
NHCOAJIK_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
NHCOAJIK_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
NHCOAJIK_00025	CDS	354	yebF			Protein YebF
NHCOAJIK_00026	CDS	291				hypothetical protein
NHCOAJIK_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
NHCOAJIK_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
NHCOAJIK_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
NHCOAJIK_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
NHCOAJIK_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
NHCOAJIK_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
NHCOAJIK_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
NHCOAJIK_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
NHCOAJIK_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
NHCOAJIK_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
NHCOAJIK_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NHCOAJIK_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NHCOAJIK_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
NHCOAJIK_00040	CDS	246				hypothetical protein
NHCOAJIK_00041	CDS	651				hypothetical protein
NHCOAJIK_00042	CDS	600				hypothetical protein
NHCOAJIK_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
NHCOAJIK_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
NHCOAJIK_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
NHCOAJIK_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
NHCOAJIK_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
NHCOAJIK_00048	CDS	819				hypothetical protein
NHCOAJIK_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
NHCOAJIK_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
NHCOAJIK_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
NHCOAJIK_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
NHCOAJIK_00053	CDS	570	yecM		COG3102	Protein YecM
NHCOAJIK_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
