locus_tag	ftype	length_bp	gene	EC_number	COG	product
OADMKDBD_00001	CDS	744	hypB			Hydrogenase maturation factor HypB
OADMKDBD_00002	CDS	282				hypothetical protein
OADMKDBD_00003	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
OADMKDBD_00004	CDS	975	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
OADMKDBD_00005	CDS	1248				hypothetical protein
OADMKDBD_00006	tRNA	75				tRNA-Asn(gtt)
OADMKDBD_00007	CDS	249				hypothetical protein
OADMKDBD_00008	CDS	600				Bacteriohemerythrin
OADMKDBD_00009	CDS	666	mprA_1		COG0745	Response regulator MprA
OADMKDBD_00010	CDS	1191	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
OADMKDBD_00011	CDS	1638	groL			60 kDa chaperonin
OADMKDBD_00012	CDS	261	groS		COG0234	10 kDa chaperonin
OADMKDBD_00013	CDS	444				hypothetical protein
OADMKDBD_00014	CDS	945				hypothetical protein
OADMKDBD_00015	CDS	5799				hypothetical protein
OADMKDBD_00016	CDS	267				hypothetical protein
OADMKDBD_00017	CDS	282				hypothetical protein
OADMKDBD_00018	CDS	336	flaA		COG1344	Flagellin A
OADMKDBD_00019	CDS	1224	sstT		COG3633	Serine/threonine transporter SstT
OADMKDBD_00020	CDS	888	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
OADMKDBD_00021	CDS	1722	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
OADMKDBD_00022	CDS	438				hypothetical protein
OADMKDBD_00023	CDS	2076	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
OADMKDBD_00024	CDS	996	ousA			Glycine betaine/proline/ectoine/pipecolic acid transporter OusA
OADMKDBD_00025	CDS	1632	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
OADMKDBD_00026	CDS	423	vhb			Bacterial hemoglobin
OADMKDBD_00027	CDS	816				hypothetical protein
OADMKDBD_00028	rRNA	1544				23S ribosomal RNA (partial)
OADMKDBD_00029	CDS	1317	yeeO		COG0534	putative FMN/FAD exporter YeeO
OADMKDBD_00030	CDS	648				hypothetical protein
OADMKDBD_00031	CDS	1521				hypothetical protein
OADMKDBD_00032	CDS	273				hypothetical protein
OADMKDBD_00033	CDS	1722		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
OADMKDBD_00034	CDS	147				hypothetical protein
OADMKDBD_00035	CDS	705				hypothetical protein
OADMKDBD_00036	CDS	363				hypothetical protein
OADMKDBD_00037	CDS	573	yceI		COG2353	Protein YceI
OADMKDBD_00038	CDS	957				hypothetical protein
OADMKDBD_00039	CDS	363				hypothetical protein
OADMKDBD_00040	CDS	384	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
OADMKDBD_00041	CDS	879	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
OADMKDBD_00042	CDS	498	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
OADMKDBD_00043	CDS	519	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
OADMKDBD_00044	CDS	579	adk	2.7.4.3	COG0563	Adenylate kinase
OADMKDBD_00045	CDS	1752	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
OADMKDBD_00046	CDS	861	nadK	2.7.1.23		NAD kinase
OADMKDBD_00047	CDS	1524	recN		COG0497	DNA repair protein RecN
OADMKDBD_00048	CDS	1245	pleD			Response regulator PleD
OADMKDBD_00049	CDS	816	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
OADMKDBD_00050	CDS	1119				hypothetical protein
OADMKDBD_00051	CDS	1002	mltG	4.2.2.-		Endolytic murein transglycosylase
OADMKDBD_00052	rRNA	1113				23S ribosomal RNA (partial)
OADMKDBD_00053	tRNA	77				tRNA-Ile(gat)
OADMKDBD_00054	tRNA	76				tRNA-Ala(tgc)
OADMKDBD_00055	rRNA	1510				16S ribosomal RNA
OADMKDBD_00056	CDS	270				hypothetical protein
OADMKDBD_00057	CDS	1770				hypothetical protein
OADMKDBD_00058	CDS	1791	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
OADMKDBD_00059	CDS	297	fliE			Flagellar hook-basal body complex protein FliE
OADMKDBD_00060	CDS	495	flgC		COG1558	Flagellar basal-body rod protein FlgC
OADMKDBD_00061	CDS	432				hypothetical protein
OADMKDBD_00062	CDS	1818	dnaG	2.7.7.-		DNA primase
OADMKDBD_00063	CDS	273				hypothetical protein
OADMKDBD_00064	CDS	552				hypothetical protein
OADMKDBD_00065	CDS	1284	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
OADMKDBD_00066	CDS	312			COG0718	Nucleoid-associated protein
OADMKDBD_00067	CDS	1095				hypothetical protein
OADMKDBD_00068	CDS	846				hypothetical protein
OADMKDBD_00069	CDS	1899	tktA	2.2.1.1	COG0021	Transketolase 1
OADMKDBD_00070	CDS	1110				hypothetical protein
OADMKDBD_00071	CDS	723	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
OADMKDBD_00072	CDS	747				hypothetical protein
OADMKDBD_00073	CDS	90				hypothetical protein
OADMKDBD_00074	CDS	699				hypothetical protein
OADMKDBD_00075	CDS	1209	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
OADMKDBD_00076	CDS	2367				hypothetical protein
OADMKDBD_00077	CDS	1389	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OADMKDBD_00078	CDS	1098	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
OADMKDBD_00079	CDS	1536	appA			Oligopeptide-binding protein AppA
OADMKDBD_00080	CDS	2028				hypothetical protein
OADMKDBD_00081	CDS	1044				hypothetical protein
OADMKDBD_00082	CDS	336	flaB			Flagellin B
OADMKDBD_00083	CDS	474				hypothetical protein
OADMKDBD_00084	CDS	888	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
OADMKDBD_00085	CDS	774				hypothetical protein
