locus_tag	ftype	length_bp	gene	EC_number	COG	product
HBIEEPJE_00001	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00002	tRNA	76				tRNA-Val(tac)
HBIEEPJE_00003	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00004	tRNA	76				tRNA-Val(tac)
HBIEEPJE_00005	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00006	CDS	795	cpoB		COG1729	Cell division coordinator CpoB
HBIEEPJE_00007	CDS	525	pal_1		COG2885	Peptidoglycan-associated lipoprotein
HBIEEPJE_00008	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
HBIEEPJE_00009	CDS	111				hypothetical protein
HBIEEPJE_00010	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
HBIEEPJE_00011	tRNA	77				tRNA-Ile(gat)
HBIEEPJE_00012	tRNA	76				tRNA-Ala(tgc)
HBIEEPJE_00013	CDS	264	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
HBIEEPJE_00014	tRNA	77				tRNA-Ile(gat)
HBIEEPJE_00015	tRNA	76				tRNA-Ala(tgc)
HBIEEPJE_00016	rRNA	76				5S ribosomal RNA (partial)
HBIEEPJE_00017	CDS	372				hypothetical protein
HBIEEPJE_00018	rRNA	80				5S ribosomal RNA (partial)
HBIEEPJE_00019	tRNA	76				tRNA-Glu(ttc)
HBIEEPJE_00020	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00021	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00022	CDS	264				IS3 family transposase ISKpn11
HBIEEPJE_00023	CDS	504				hypothetical protein
HBIEEPJE_00024	CDS	108				hypothetical protein
HBIEEPJE_00025	CDS	465				hypothetical protein
HBIEEPJE_00026	CDS	411				hypothetical protein
HBIEEPJE_00027	CDS	168				hypothetical protein
HBIEEPJE_00028	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
HBIEEPJE_00029	CDS	897	yhaJ_1			HTH-type transcriptional regulator YhaJ
HBIEEPJE_00030	CDS	369	yhaH		COG3152	Inner membrane protein YhaH
HBIEEPJE_00031	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
HBIEEPJE_00032	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
HBIEEPJE_00033	CDS	297				hypothetical protein
HBIEEPJE_00034	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
HBIEEPJE_00035	CDS	306	yqjD		COG4575	putative protein YqjD
HBIEEPJE_00036	CDS	369	yqjC			Protein YqjC
HBIEEPJE_00037	CDS	387	mzrA			Modulator protein MzrA
HBIEEPJE_00038	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
HBIEEPJE_00039	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
HBIEEPJE_00040	CDS	1302	exuT_1			Hexuronate transporter
HBIEEPJE_00041	CDS	1413	uxaC	5.3.1.12	COG1904	Uronate isomerase
HBIEEPJE_00042	CDS	1488	uxaA	4.2.1.7	COG2721	Altronate dehydratase
HBIEEPJE_00043	CDS	555	ygjV			Inner membrane protein YgjV
HBIEEPJE_00044	CDS	1248	sstT		COG3633	Serine/threonine transporter SstT
HBIEEPJE_00045	CDS	972	alx		COG0861	Putative membrane-bound redox modulator Alx
HBIEEPJE_00046	CDS	990	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
HBIEEPJE_00047	CDS	501	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
HBIEEPJE_00048	CDS	603				hypothetical protein
HBIEEPJE_00049	CDS	708				hypothetical protein
HBIEEPJE_00050	CDS	1131	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
HBIEEPJE_00051	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
HBIEEPJE_00052	CDS	1032	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
HBIEEPJE_00053	CDS	654	metI_1		COG2011	D-methionine transport system permease protein MetI
HBIEEPJE_00054	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
HBIEEPJE_00055	CDS	408	rcsF			Outer membrane lipoprotein RcsF
HBIEEPJE_00056	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
HBIEEPJE_00057	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
HBIEEPJE_00058	CDS	843				hypothetical protein
HBIEEPJE_00059	CDS	699	nlpE		COG3015	Lipoprotein NlpE
HBIEEPJE_00060	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
HBIEEPJE_00061	CDS	546	yaeQ		COG4681	putative protein YaeQ
HBIEEPJE_00062	CDS	201				hypothetical protein
HBIEEPJE_00063	CDS	261	rof		COG4568	Protein rof
HBIEEPJE_00064	CDS	1314	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
HBIEEPJE_00065	CDS	390				hypothetical protein
HBIEEPJE_00066	CDS	2190	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
HBIEEPJE_00067	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HBIEEPJE_00068	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
HBIEEPJE_00069	CDS	600	rnhB	3.1.26.4	COG0164	Ribonuclease HII
HBIEEPJE_00070	CDS	1152	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
HBIEEPJE_00071	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
HBIEEPJE_00072	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
HBIEEPJE_00073	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
HBIEEPJE_00074	CDS	486	skp		COG2825	Chaperone protein Skp
HBIEEPJE_00075	CDS	2430	bamA_1		COG4775	Outer membrane protein assembly factor BamA
HBIEEPJE_00076	CDS	726	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
HBIEEPJE_00077	CDS	708				hypothetical protein
HBIEEPJE_00078	CDS	462				hypothetical protein
HBIEEPJE_00079	CDS	345	mbeC			Mobilization protein MbeC
HBIEEPJE_00080	CDS	498				hypothetical protein
HBIEEPJE_00081	CDS	216				hypothetical protein
HBIEEPJE_00082	CDS	264				hypothetical protein
HBIEEPJE_00083	CDS	1344	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HBIEEPJE_00084	CDS	741	ompR_1			Transcriptional regulatory protein OmpR
HBIEEPJE_00085	CDS	993	dhmA	3.8.1.5		Haloalkane dehalogenase
HBIEEPJE_00086	CDS	1020				hypothetical protein
HBIEEPJE_00087	CDS	927	pqqB		COG1235	Coenzyme PQQ synthesis protein B
HBIEEPJE_00088	CDS	756	pqqC	1.3.3.11	COG5424	Pyrroloquinoline-quinone synthase
HBIEEPJE_00089	CDS	279	pqqD			PqqA binding protein
HBIEEPJE_00090	CDS	495				hypothetical protein
HBIEEPJE_00091	CDS	909	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
HBIEEPJE_00092	CDS	321				hypothetical protein
HBIEEPJE_00093	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
HBIEEPJE_00094	CDS	1254	amiC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
HBIEEPJE_00095	CDS	1077	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
HBIEEPJE_00096	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
HBIEEPJE_00097	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
HBIEEPJE_00098	CDS	1044	galM	5.1.3.3	COG2017	Aldose 1-epimerase
HBIEEPJE_00099	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
HBIEEPJE_00100	CDS	1083	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
HBIEEPJE_00101	CDS	366				hypothetical protein
HBIEEPJE_00102	CDS	945	zitB		COG1230	Zinc transporter ZitB
HBIEEPJE_00103	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
HBIEEPJE_00104	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
HBIEEPJE_00105	tRNA	76				tRNA-Lys(ttt)
HBIEEPJE_00106	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
HBIEEPJE_00107	CDS	3447	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
HBIEEPJE_00108	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
HBIEEPJE_00109	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
HBIEEPJE_00110	CDS	636	comR			HTH-type transcriptional repressor ComR
HBIEEPJE_00111	CDS	2190	iutA			Ferric aerobactin receptor
HBIEEPJE_00112	CDS	540				hypothetical protein
HBIEEPJE_00113	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
HBIEEPJE_00114	CDS	543				hypothetical protein
HBIEEPJE_00115	CDS	1023	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
HBIEEPJE_00116	CDS	828	thiK	2.7.1.89	COG0510	Thiamine kinase
HBIEEPJE_00117	CDS	648	lpoB		COG3417	Penicillin-binding protein activator LpoB
HBIEEPJE_00118	CDS	375				hypothetical protein
HBIEEPJE_00119	CDS	357	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
HBIEEPJE_00120	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
HBIEEPJE_00121	CDS	795	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
HBIEEPJE_00122	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
HBIEEPJE_00123	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
HBIEEPJE_00124	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
HBIEEPJE_00125	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
HBIEEPJE_00126	CDS	1242	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
HBIEEPJE_00127	CDS	237	acpP			Acyl carrier protein
HBIEEPJE_00128	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HBIEEPJE_00129	CDS	930	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
HBIEEPJE_00130	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HBIEEPJE_00131	CDS	1161	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
HBIEEPJE_00132	CDS	174	rpmF		COG0333	50S ribosomal protein L32
HBIEEPJE_00133	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
HBIEEPJE_00134	CDS	585	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
HBIEEPJE_00135	CDS	996	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
HBIEEPJE_00136	CDS	1437				hypothetical protein
HBIEEPJE_00137	CDS	285				hypothetical protein
HBIEEPJE_00138	CDS	147	pcaI	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
HBIEEPJE_00139	CDS	657	pcaJ	2.8.3.6	COG2057	3-oxoadipate CoA-transferase subunit B
HBIEEPJE_00140	CDS	1203	pcaF	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
HBIEEPJE_00141	CDS	1353	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
HBIEEPJE_00142	CDS	765	catD	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
HBIEEPJE_00143	CDS	390				hypothetical protein
HBIEEPJE_00144	CDS	192				hypothetical protein
HBIEEPJE_00145	CDS	846				hypothetical protein
HBIEEPJE_00146	CDS	315	hdeB_1			Acid stress chaperone HdeB
HBIEEPJE_00147	CDS	615	evgA			DNA-binding transcriptional activator EvgA
HBIEEPJE_00148	CDS	3243	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
HBIEEPJE_00149	CDS	633	yfdX			Protein YfdX
HBIEEPJE_00150	CDS	576	hdeD		COG3247	Protein HdeD
HBIEEPJE_00151	CDS	306	hdeB_2			Acid stress chaperone HdeB
HBIEEPJE_00152	CDS	804	glpF_1		COG0580	Glycerol uptake facilitator protein
HBIEEPJE_00153	CDS	1824	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
HBIEEPJE_00154	CDS	426	pduE_1	4.2.1.28	COG4910	Propanediol dehydratase small subunit
HBIEEPJE_00155	CDS	585	pduD_1	4.2.1.28		Propanediol dehydratase medium subunit
HBIEEPJE_00156	CDS	1668	dhaB	4.2.1.30		Glycerol dehydratase large subunit
HBIEEPJE_00157	CDS	429				hypothetical protein
HBIEEPJE_00158	CDS	1164	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
HBIEEPJE_00159	CDS	354				hypothetical protein
HBIEEPJE_00160	CDS	531	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
HBIEEPJE_00161	CDS	1926	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
HBIEEPJE_00162	CDS	1098	dhaD	1.1.1.6		Glycerol dehydrogenase
HBIEEPJE_00163	CDS	1071	dhaK_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
HBIEEPJE_00164	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
HBIEEPJE_00165	CDS	1422	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
HBIEEPJE_00166	CDS	1650	dhaK_2	2.7.1.29		Dihydroxyacetone kinase
HBIEEPJE_00167	CDS	777	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
HBIEEPJE_00168	CDS	555	yqjI		COG1695	Transcriptional regulator YqjI
HBIEEPJE_00169	CDS	1380	patA	2.6.1.82	COG4992	Putrescine aminotransferase
HBIEEPJE_00170	CDS	297	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
HBIEEPJE_00171	CDS	888	lsrF_1	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
HBIEEPJE_00172	CDS	1002	lsrB_1			Autoinducer 2-binding protein LsrB
HBIEEPJE_00173	CDS	999	lsrD_1			Autoinducer 2 import system permease protein LsrD
HBIEEPJE_00174	CDS	1035	lsrC		COG1172	Autoinducer 2 import system permease protein LsrC
HBIEEPJE_00175	CDS	1488	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
HBIEEPJE_00176	CDS	972	lsrR		COG2390	Transcriptional regulator LsrR
HBIEEPJE_00177	CDS	1599	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
HBIEEPJE_00178	CDS	267				hypothetical protein
HBIEEPJE_00179	CDS	231				hypothetical protein
HBIEEPJE_00180	CDS	354				hypothetical protein
HBIEEPJE_00181	CDS	963	galR_1		COG1609	HTH-type transcriptional regulator GalR
HBIEEPJE_00182	CDS	918			COG0803	putative periplasmic iron-binding protein
HBIEEPJE_00183	CDS	822	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
HBIEEPJE_00184	CDS	849	mntB_2			Manganese transport system membrane protein MntB
HBIEEPJE_00185	CDS	855	mntB_3			Manganese transport system membrane protein MntB
HBIEEPJE_00186	CDS	396				hypothetical protein
HBIEEPJE_00187	CDS	888	tsaR_1			HTH-type transcriptional regulator TsaR
HBIEEPJE_00188	CDS	942				hypothetical protein
HBIEEPJE_00189	CDS	1710	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
HBIEEPJE_00190	CDS	294				hypothetical protein
HBIEEPJE_00191	CDS	1080				hypothetical protein
HBIEEPJE_00192	CDS	609	yibF		COG0625	putative GST-like protein YibF
HBIEEPJE_00193	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
HBIEEPJE_00194	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
HBIEEPJE_00195	CDS	597	mtlR		COG3722	Mannitol operon repressor
HBIEEPJE_00196	CDS	225	glgS_1			Surface composition regulator
HBIEEPJE_00197	CDS	363	yibL			putative protein YibL
HBIEEPJE_00198	CDS	1656	lldP		COG1620	L-lactate permease
HBIEEPJE_00199	CDS	774	lldR_2		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
HBIEEPJE_00200	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
HBIEEPJE_00201	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HBIEEPJE_00202	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
HBIEEPJE_00203	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
HBIEEPJE_00204	CDS	468	secB		COG1952	Protein-export protein SecB
HBIEEPJE_00205	CDS	252	grxC		COG0695	Glutaredoxin 3
HBIEEPJE_00206	CDS	432	yibN		COG0607	putative protein YibN
HBIEEPJE_00207	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
HBIEEPJE_00208	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
HBIEEPJE_00209	CDS	948				hypothetical protein
HBIEEPJE_00210	CDS	789				hypothetical protein
HBIEEPJE_00211	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
HBIEEPJE_00212	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
HBIEEPJE_00213	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
HBIEEPJE_00214	CDS	1020	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
HBIEEPJE_00215	CDS	972	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
HBIEEPJE_00216	CDS	909				hypothetical protein
HBIEEPJE_00217	CDS	1170				hypothetical protein
HBIEEPJE_00218	CDS	1080				hypothetical protein
HBIEEPJE_00219	CDS	963				hypothetical protein
HBIEEPJE_00220	CDS	1077	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
HBIEEPJE_00221	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
HBIEEPJE_00222	CDS	612				hypothetical protein
HBIEEPJE_00223	CDS	1617				hypothetical protein
HBIEEPJE_00224	CDS	1653	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
HBIEEPJE_00225	CDS	1437	ttdT		COG0471	L-tartrate/succinate antiporter
HBIEEPJE_00226	CDS	651				hypothetical protein
HBIEEPJE_00227	CDS	219				hypothetical protein
HBIEEPJE_00228	CDS	1113	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
HBIEEPJE_00229	CDS	1353	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
HBIEEPJE_00230	CDS	555				hypothetical protein
HBIEEPJE_00231	CDS	351	pduU		COG4810	Propanediol utilization protein PduU
HBIEEPJE_00232	CDS	441	pduV		COG4917	Propanediol utilization protein PduV
HBIEEPJE_00233	CDS	1215	pduW	2.7.2.15	COG0282	putative propionate kinase
HBIEEPJE_00234	CDS	555	ttgI			Toluene efflux pump outer membrane protein TtgI
HBIEEPJE_00235	CDS	1164	bcr_1			Bicyclomycin resistance protein
HBIEEPJE_00236	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
HBIEEPJE_00237	CDS	771				hypothetical protein
HBIEEPJE_00238	CDS	225				hypothetical protein
HBIEEPJE_00239	CDS	843	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
HBIEEPJE_00240	CDS	939				hypothetical protein
HBIEEPJE_00241	CDS	873				hypothetical protein
HBIEEPJE_00242	CDS	885				hypothetical protein
HBIEEPJE_00243	CDS	798	entF	2.7.7.-	COG1020	Enterobactin synthase component F
HBIEEPJE_00244	CDS	795	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
HBIEEPJE_00245	CDS	387	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
HBIEEPJE_00246	CDS	1281				hypothetical protein
HBIEEPJE_00247	CDS	780	budA	4.1.1.5		Alpha-acetolactate decarboxylase
HBIEEPJE_00248	CDS	873	benM_1			HTH-type transcriptional regulator BenM
HBIEEPJE_00249	CDS	771	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
HBIEEPJE_00250	CDS	1392				hypothetical protein
HBIEEPJE_00251	CDS	924	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
HBIEEPJE_00252	CDS	1017	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
HBIEEPJE_00253	CDS	138	budB	2.2.1.6	COG0028	Acetolactate synthase, catabolic
HBIEEPJE_00254	CDS	771	budC	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
HBIEEPJE_00255	CDS	564				hypothetical protein
HBIEEPJE_00256	CDS	549				hypothetical protein
HBIEEPJE_00257	CDS	1317				hypothetical protein
HBIEEPJE_00258	CDS	1146				hypothetical protein
HBIEEPJE_00259	CDS	1077	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
HBIEEPJE_00260	CDS	744	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
HBIEEPJE_00261	rRNA	655				16S ribosomal RNA (partial)
HBIEEPJE_00262	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
HBIEEPJE_00263	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
HBIEEPJE_00264	CDS	270	yihD		COG3084	Protein YihD
HBIEEPJE_00265	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
HBIEEPJE_00266	CDS	624	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
HBIEEPJE_00267	CDS	900	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
HBIEEPJE_00268	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
HBIEEPJE_00269	CDS	633	engB		COG0218	putative GTP-binding protein EngB
HBIEEPJE_00270	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
HBIEEPJE_00271	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
HBIEEPJE_00272	CDS	111	yshB			putative protein YshB
HBIEEPJE_00273	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
HBIEEPJE_00274	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
HBIEEPJE_00275	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
HBIEEPJE_00276	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
